symbol,entry_ts,exit_ts,shares,entry_price,exit_price,pnl,return_pct,bars_held,exit_reason
AAPL,2023-01-04T05:00:00+00:00,2023-02-03T05:00:00+00:00,262,126.9534,147.956,5502.67,0.1654,30,RSI 70.8 > 70.0
SPY,2023-03-14T04:00:00+00:00,2023-06-13T04:00:00+00:00,90,390.6952,435.1023,3996.64,0.1137,91,RSI 70.3 > 70.0
AAPL,2023-08-07T04:00:00+00:00,2023-11-17T05:00:00+00:00,200,182.2211,190.1549,1586.76,0.0435,102,RSI 71.0 > 70.0
SPY,2023-08-18T04:00:00+00:00,2023-11-21T05:00:00+00:00,84,433.5867,452.9576,1627.16,0.0447,95,RSI 72.0 > 70.0
QQQ,2023-08-21T04:00:00+00:00,2023-11-21T05:00:00+00:00,101,359.7998,388.8155,2930.58,0.0806,92,RSI 72.5 > 70.0
AAPL,2024-01-04T05:00:00+00:00,2024-05-16T04:00:00+00:00,211,182.2411,190.3748,1716.21,0.0446,133,RSI 70.8 > 70.0
SPY,2024-04-19T04:00:00+00:00,2024-05-22T04:00:00+00:00,77,499.6897,530.3847,2363.51,0.0614,33,RSI 70.3 > 70.0
QQQ,2024-04-22T04:00:00+00:00,2024-05-29T04:00:00+00:00,92,417.5187,455.2523,3471.49,0.0904,37,RSI 70.3 > 70.0
SPY,2024-08-06T04:00:00+00:00,2024-12-05T05:00:00+00:00,79,519.4796,607.3562,6942.25,0.1692,121,RSI 70.7 > 70.0
QQQ,2024-07-26T04:00:00+00:00,2024-12-17T05:00:00+00:00,88,462.8813,536.0918,6442.52,0.1582,144,RSI 71.2 > 70.0
QQQ,2025-02-28T05:00:00+00:00,2025-05-15T04:00:00+00:00,91,500.3801,516.2617,1445.23,0.0317,76,RSI 70.7 > 70.0
SPY,2025-02-28T05:00:00+00:00,2025-07-01T04:00:00+00:00,77,585.8528,616.0518,2325.33,0.0515,123,RSI 70.3 > 70.0
AAPL,2025-01-14T05:00:00+00:00,2025-08-11T04:00:00+00:00,193,234.8674,227.806,-1362.84,-0.0301,209,RSI 73.7 > 70.0
