ts,symbol,side,shares,price,notional,reason
2023-01-04T05:00:00+00:00,AAPL,BUY,262,126.9534,33261.8,RSI 32.3 < 35.0 & close>142.71
2023-02-03T05:00:00+00:00,AAPL,SELL,262,147.956,38764.47,RSI 70.8 > 70.0
2023-03-14T04:00:00+00:00,SPY,BUY,90,390.6952,35162.57,RSI 34.6 < 35.0 & close>399.11
2023-06-13T04:00:00+00:00,SPY,SELL,90,435.1023,39159.21,RSI 70.3 > 70.0
2023-08-07T04:00:00+00:00,AAPL,BUY,200,182.2211,36444.21,RSI 33.2 < 35.0 & close>187.09
2023-08-18T04:00:00+00:00,SPY,BUY,84,433.5867,36421.28,RSI 34.9 < 35.0 & close>443.95
2023-08-21T04:00:00+00:00,QQQ,BUY,101,359.7998,36339.78,RSI 34.7 < 35.0 & close>370.08
2023-11-17T05:00:00+00:00,AAPL,SELL,200,190.1549,38030.97,RSI 71.0 > 70.0
2023-11-21T05:00:00+00:00,SPY,SELL,84,452.9576,38048.44,RSI 72.0 > 70.0
2023-11-21T05:00:00+00:00,QQQ,SELL,101,388.8155,39270.36,RSI 72.5 > 70.0
2024-01-04T05:00:00+00:00,AAPL,BUY,211,182.2411,38452.87,RSI 33.2 < 35.0 & close>187.06
2024-04-19T04:00:00+00:00,SPY,BUY,77,499.6897,38476.11,RSI 34.5 < 35.0 & close>510.50
2024-04-22T04:00:00+00:00,QQQ,BUY,92,417.5187,38411.72,RSI 29.6 < 35.0 & close>437.51
2024-05-16T04:00:00+00:00,AAPL,SELL,211,190.3748,40169.08,RSI 70.8 > 70.0
2024-05-22T04:00:00+00:00,SPY,SELL,77,530.3847,40839.62,RSI 70.3 > 70.0
2024-05-29T04:00:00+00:00,QQQ,SELL,92,455.2523,41883.21,RSI 70.3 > 70.0
2024-07-26T04:00:00+00:00,QQQ,BUY,88,462.8813,40733.56,RSI 33.7 < 35.0 & close>472.80
2024-08-06T04:00:00+00:00,SPY,BUY,79,519.4796,41038.89,RSI 30.7 < 35.0 & close>543.37
2024-12-05T05:00:00+00:00,SPY,SELL,79,607.3562,47981.14,RSI 70.7 > 70.0
2024-12-17T05:00:00+00:00,QQQ,SELL,88,536.0918,47176.08,RSI 71.2 > 70.0
2025-01-14T05:00:00+00:00,AAPL,BUY,193,234.8674,45329.4,RSI 34.6 < 35.0 & close>238.73
2025-02-28T05:00:00+00:00,QQQ,BUY,91,500.3801,45534.59,RSI 32.4 < 35.0 & close>522.63
2025-02-28T05:00:00+00:00,SPY,BUY,77,585.8528,45110.66,RSI 34.3 < 35.0 & close>598.22
2025-05-15T04:00:00+00:00,QQQ,SELL,91,516.2617,46979.82,RSI 70.7 > 70.0
2025-07-01T04:00:00+00:00,SPY,SELL,77,616.0518,47435.99,RSI 70.3 > 70.0
2025-08-11T04:00:00+00:00,AAPL,SELL,193,227.806,43966.57,RSI 73.7 > 70.0
